Timestamp,Symbol,LastPrice,TradedVolume
2021-01-04,BRENT_CRUDE,101.64,298716
2021-01-04,GOLD_OUNCE,93.91,358412
2021-01-04,US_10Y_BOND,103.06,61236
2021-01-04,GLOBAL_REIT,101.99,474656
2021-01-04,BITCOIN_INDEX,29961.48,463810
2021-01-05,BRENT_CRUDE,98.18,269450
2021-01-05,GOLD_OUNCE,98.03,240655
2021-01-05,US_10Y_BOND,100.97,198091
2021-01-05,GLOBAL_REIT,97.92,314487
2021-01-05,BITCOIN_INDEX,31662.29,142489
2021-01-06,BRENT_CRUDE,105.78,81604
2021-01-06,GOLD_OUNCE,104.02,420954
2021-01-06,US_10Y_BOND,105.56,55606
2021-01-06,GLOBAL_REIT,106.01,204055
2021-01-06,BITCOIN_INDEX,30350.34,469945
2021-01-07,BRENT_CRUDE,102.92,354040
2021-01-07,GOLD_OUNCE,102.76,107218
2021-01-07,US_10Y_BOND,106.65,326328
2021-01-07,GLOBAL_REIT,103.29,160773
2021-01-07,BITCOIN_INDEX,31106.97,166187
2021-01-08,BRENT_CRUDE,104.85,122782
2021-01-08,GOLD_OUNCE,100.39,138578
2021-01-08,US_10Y_BOND,102.73,166530
2021-01-08,GLOBAL_REIT,105.3,431894
2021-01-08,BITCOIN_INDEX,31802.48,372122
2021-01-11,BRENT_CRUDE,105.1,375414
2021-01-11,GOLD_OUNCE,100.94,429880
2021-01-11,US_10Y_BOND,99.73,454276
2021-01-11,GLOBAL_REIT,101.47,198258
2021-01-11,BITCOIN_INDEX,31638.08,206149
2021-01-12,BRENT_CRUDE,97.54,304893
2021-01-12,GOLD_OUNCE,99.21,85523
2021-01-12,US_10Y_BOND,99.53,72267
2021-01-12,GLOBAL_REIT,104.97,94694
2021-01-12,BITCOIN_INDEX,30934.57,496963
2021-01-13,BRENT_CRUDE,97.34,245949
2021-01-13,GOLD_OUNCE,109.22,131330
2021-01-13,US_10Y_BOND,104.19,469772
2021-01-13,GLOBAL_REIT,98.16,470799
2021-01-13,BITCOIN_INDEX,31247.13,331452
2021-01-14,BRENT_CRUDE,111.86,386735
2021-01-14,GOLD_OUNCE,102.34,119542
2021-01-14,US_10Y_BOND,109.43,436925
2021-01-14,GLOBAL_REIT,105.97,218664
2021-01-14,BITCOIN_INDEX,32800.3,284756
2021-01-15,BRENT_CRUDE,102.13,100238
